Insee - Statistiques locales; ; ; ; 
Référentiel géographique : France par commune; ; ; ; 
Code;Libellé;Nb de familles 2019;Part des familles avec 3 enf. ou plus de - de 25 ans 2019;Population municipale 2019
01196;Jayat;355;9.5;1226
01197;Journans;115;0;351
01198;Joyeux;80;12.2;268
01199;Jujurieux;611;8.8;2137
01200;Labalme;65;7.7;214
01202;Lagnieu;2051;9;7161
01203;Laiz;402;12.9;1313
01204;Le Poizat-Lalleyriat;207;14.7;735
01206;Lantenay;80;5.9;277
01207;Lapeyrouse;96;9.7;317
01208;Lavours;34;0;131
01209;Léaz;230;8.7;778
01210;Lélex;65;7.6;228
01211;Lent;401;8.5;1395
01212;Lescheroux;227;11.1;718
01213;Leyment;392;11.4;1341
01214;Leyssard;49;0;158
01215;Surjoux-Lhopital;46;0;140
01216;Lhuis;252;9.4;894
01219;Lompnas;55;9.1;164
01224;Loyettes;919;11;3225
01225;Lurcy;119;6.8;372
01227;Magnieu;190;13.2;643
01228;Maillat;190;7.9;660
01229;Malafretaz;373;8.9;1235
01230;Mantenay-Montlin;89;10.7;312
01231;Manziat;626;7.8;1948
01232;Marboz;670;7.7;2276
01233;Marchamp;40;25;130
01234;Marignieu;50;0;169
01235;Marlieux;319;12.3;1159
01236;Marsonnas;295;11.9;1011
01237;Martignat;500;10.8;1667
01238;Massieux;803;11.7;2670
01239;Massignieu-de-Rives;200;7.4;620
01240;Matafelon-Granges;190;7.2;627
01241;Meillonnas;400;6.2;1356
01242;Mérignat;35;14.3;135
01243;Messimy-sur-Saône;395;7.6;1253
01244;Meximieux;2181;10.4;7923
01245;Bohas-Meyriat-Rignat;284;9.1;943
01246;Mézériat;674;11;2217
01247;Mijoux;99;0;312
01248;Mionnay;670;6.6;2197
01249;Miribel;2777;10.7;10122
01250;Misérieux;571;9.2;1974
01252;Mogneneins;230;10.9;786
01254;Montagnat;686;9.1;2116
01255;Montagnieu;185;10.8;647
01257;Montanges;105;9.5;351
01258;Montceaux;374;10.4;1190
01259;Montcet;213;2.3;702
01260;Le Montellier;94;15.8;302
01261;Monthieux;213;11.9;668
01262;Montluel;1895;10.6;6886
01263;Montmerle-sur-Saône;1114;6.8;3772
01264;Montracol;310;9.7;1016
01265;Montréal-la-Cluse;989;12.5;3456
01266;Montrevel-en-Bresse;722;4.8;2576
01267;Nurieux-Volognat;314;7.7;1025
01268;Murs-et-Gélignieux;75;6.7;246
01269;Nantua;846;17.4;3454
01272;Neuville-les-Dames;427;8.7;1500
01273;Neuville-sur-Ain;532;9.9;1800
01274;Les Neyrolles;180;11.1;645
01275;Neyron;788;5.8;2569
01276;Niévroz;487;10.2;1624
01277;Nivollet-Montgriffon;29;0;117
01279;Oncieu;24;0;80
01280;Ordonnaz;34;14.3;138
01281;Ornex;1213;8.7;4483
01282;Outriaz;75;6.7;258
01283;Oyonnax;6022;15.6;22456
01284;Ozan;223;6.7;694
01285;Parcieux;372;9.5;1229
01286;Parves et Nattages;300;5;951
01288;Péron;775;7;2717
01289;Péronnas;1856;8.2;6520
01290;Pérouges;387;4.9;1273
01291;Perrex;277;8.7;842
01293;Peyriat;47;10;148
01294;Peyrieu;247;4.2;886
01295;Peyzieux-sur-Saône;202;13;686
01296;Pirajoux;113;10.1;420
01297;Pizay;265;9.4;867
01298;Plagne;50;10;150
01299;Le Plantay;172;5.9;584
01301;Polliat;798;8;2547
01302;Pollieu;44;0;163
01303;Poncin;464;11.4;1699
01304;Pont-d'Ain;836;9;2924
01305;Pont-de-Vaux;530;6.6;2213
01306;Pont-de-Veyle;402;11.2;1641
01307;Port;250;10;836
01308;Pougny;230;6.5;807
01309;Pouillat;24;0;85
01310;Prémeyzel;36;14.3;251
01311;Prémillieu;15;0;44
01313;Prévessin-Moëns;2380;11.2;8711
01314;Priay;506;6.5;1729
01317;Ramasse;90;5.6;330
01318;Rancé;220;9.1;726
01319;Relevant;150;10;466
01320;Replonges;1162;7.7;3791
01321;Revonnas;255;9.6;888
01322;Reyrieux;1437;8.9;4984
01323;Reyssouze;295;8.1;989
01325;Rignieux-le-Franc;320;7.6;1032
01328;Romans;164;8.4;597
01329;Rossillon;35;0;153
01330;Ruffieu;61;0;182
01331;Saint-Alban;58;8.3;187
